compare_populations/1.json,TL1_ls,GA15_ls,T30_ls,jaya_ls,LBO_ls,GA5_ls,GA2_ls,T1_ls,TL15_ls,TL30_ls,GA30_ls,G2JG4TL_ls,control,T15_ls
TL1_ls,0,129.811111111111,202.177777777778,188.111111111111,131.488888888889,133,126.211111111111,262.855555555556,131.322222222222,131.022222222222,129.044444444445,128.7,709.766666666667,210.111111111111
GA15_ls,129.811111111111,0,211.766666666667,195.077777777778,125.877777777778,90.1666666666667,105.555555555556,273.577777777778,132.622222222222,129.144444444444,81.2777777777778,94.0666666666667,717.644444444444,222.122222222222
T30_ls,202.177777777778,211.766666666667,0,224.844444444444,204.577777777778,213.177777777778,206.233333333333,263.988888888889,203.566666666667,201.844444444444,212.533333333333,210.433333333333,695.811111111111,217.266666666667
jaya_ls,188.111111111111,195.077777777778,224.844444444444,0,185.644444444444,193.755555555556,187.166666666667,270.855555555556,187.3,187.822222222222,195,193.522222222222,708.455555555556,233.088888888889
LBO_ls,131.488888888889,125.877777777778,204.577777777778,185.644444444444,0,125.177777777778,121.144444444444,265.166666666667,128.833333333333,132.311111111111,125.533333333333,123.544444444445,712.588888888889,217.511111111111
GA5_ls,133,90.1666666666667,213.177777777778,193.755555555556,125.177777777778,0,103.366666666667,274.633333333333,132.788888888889,128.577777777778,90.7333333333333,95.8777777777778,717.566666666667,222.755555555556
GA2_ls,126.211111111111,105.555555555556,206.233333333333,187.166666666667,121.144444444444,103.366666666667,0,268.422222222222,128.555555555556,121.7,102.722222222222,104.466666666667,713.066666666667,217.144444444444
T1_ls,262.855555555556,273.577777777778,263.988888888889,270.855555555556,265.166666666667,274.633333333333,268.422222222222,0,263.822222222222,264.077777777778,273.5,272.955555555556,668.955555555556,262.188888888889
TL15_ls,131.322222222222,132.622222222222,203.566666666667,187.3,128.833333333333,132.788888888889,128.555555555556,263.822222222222,0,132.433333333333,129.455555555556,128.911111111111,710.555555555556,212.944444444445
TL30_ls,131.022222222222,129.144444444444,201.844444444444,187.822222222222,132.311111111111,128.577777777778,121.7,264.077777777778,132.433333333333,0,127.111111111111,128.255555555556,711.544444444445,211.866666666667
GA30_ls,129.044444444445,81.2777777777778,212.533333333333,195,125.533333333333,90.7333333333333,102.722222222222,273.5,129.455555555556,127.111111111111,0,96.8111111111111,716.944444444444,221.066666666667
G2JG4TL_ls,128.7,94.0666666666667,210.433333333333,193.522222222222,123.544444444445,95.8777777777778,104.466666666667,272.955555555556,128.911111111111,128.255555555556,96.8111111111111,0,716.866666666667,222.477777777778
control,709.766666666667,717.644444444444,695.811111111111,708.455555555556,712.588888888889,717.566666666667,713.066666666667,668.955555555556,710.555555555556,711.544444444445,716.944444444444,716.866666666667,0,691.788888888889
T15_ls,210.111111111111,222.122222222222,217.266666666667,233.088888888889,217.511111111111,222.755555555556,217.144444444444,262.188888888889,212.944444444445,211.866666666667,221.066666666667,222.477777777778,691.788888888889,0
