gigantic_search/1.json,GA2,T30_ls,T15_ls_v2,C30,TLBO_v2,J15_ls_v2,GA2_ls,C15_v2,C3_ls_v2,J1_ls_v2,C7_v2,J15_ls,J3,T3_v2,T7_ls,C7,GA30,C7_ls,GA20,C1,T1_v2,C30_ls_v2,GA5_ls,T1_ls,T7_v2,T1_ls_v2,C3_v2,C15,TLBO_ls,J1_v2,T7_ls_v2,J30_ls_v2,T15,T30_ls_v2,LBO_ls_v2,T1,GA30_ls,VND,C3_ls,T15_ls,C1_ls,J15,C30_v2,J15_v2,J7_v2,LS,T3,T3_ls,C15_ls,C1_v2,C1_ls_v2,T3_ls_v2,LBO_ls,J3_ls,GA10,TLBO_ls_v2,TLBO,GA5,T30,GA20_ls,J30,J7_ls_v2,C7_ls_v2,J3_v2,control,C3,J30_ls,T15_v2,J3_ls_v2,LF,GA10_ls,J1,C15_ls_v2,T30_v2,T7,J7,C30_ls,J30_v2,J1_ls,LBO_v2,LBO,J7_ls
GA2,0,497.866666666667,546.088888888889,884.833333333333,266.044444444444,426.855555555556,223.677777777778,791.255555555556,805.755555555556,771.5,803.966666666667,415.344444444444,657.255555555556,484.522222222222,566.9,917.177777777778,210.211111111111,806.277777777778,208.988888888889,952.222222222222,655.022222222222,779.122222222222,220.955555555555,619.644444444444,471.133333333333,618.488888888889,825.2,908.6,276.911111111111,1052.5,575.933333333333,353.911111111111,479.566666666667,500.066666666667,279.388888888889,700.277777777778,219.655555555556,914.522222222222,812.977777777778,544.077777777778,824.322222222222,432.344444444444,764.411111111111,425.922222222222,522.066666666667,1030.62222222222,535.3,595.333333333333,799.255555555556,852.344444444444,814.533333333333,594.777777777778,276.955555555556,536.211111111111,206.255555555556,280.822222222222,258.111111111111,206.366666666667,442.277777777778,223.211111111111,319.111111111111,488.966666666667,797.4,679.444444444444,1140.64444444444,929,345.388888888889,447.555555555556,569.355555555556,1118.75555555556,222.911111111111,1100.7,794.777777777778,425.033333333333,501.033333333333,536.911111111111,786.777777777778,325.333333333333,797.733333333333,280.655555555556,271.888888888889,466.322222222222
T30_ls,497.866666666667,0,373.555555555555,894.077777777778,507.355555555556,379.588888888889,440.522222222222,821.855555555556,591.311111111111,548.144444444444,835.211111111111,376.811111111111,723.166666666667,579.722222222222,380.588888888889,917.622222222222,500.833333333333,593.5,493.144444444444,943.622222222222,734.622222222222,574.722222222222,448.444444444445,423.933333333333,566.533333333333,425.222222222222,848.822222222222,913.755555555556,411,1044.01111111111,384.555555555555,386.955555555556,570.655555555556,361.466666666667,408.388888888889,774.677777777778,442.922222222222,712.277777777778,599.422222222222,373.277777777778,601.633333333333,566.588888888889,806.544444444445,562.766666666667,628.711111111111,812.2,608.788888888889,396.222222222222,589.033333333333,867.855555555556,597.688888888889,398.311111111111,415.6,401.388888888889,494.344444444444,407.288888888889,512.533333333333,495.277777777778,549.1,443.055555555555,515.933333333333,388.388888888889,587.6,748.333333333333,1099.44444444444,928.466666666667,381.877777777778,552.911111111111,418.088888888889,1079.62222222222,445.177777777778,1085.5,586.244444444444,539.211111111111,584.966666666667,630.355555555556,579.111111111111,525.4,560.133333333333,526.855555555556,516.844444444444,379.811111111111
T15_ls_v2,546.088888888889,373.555555555555,0,904.944444444445,552.377777777778,399.122222222222,485.877777777778,834.655555555556,569.088888888889,523.3,846.388888888889,392.1,746.633333333333,611.788888888889,378.322222222222,927.177777777778,549.166666666667,572.811111111111,543.1,950.488888888889,756.088888888889,554.766666666667,494.044444444444,411.977777777778,601.266666666667,412.288888888889,859.955555555556,923.377777777778,452.711111111111,1044.23333333333,380.577777777778,414.866666666667,606.055555555556,376.644444444444,448.766666666667,793.3,488.388888888889,689.5,579.022222222222,375.122222222222,579.633333333333,601.233333333333,819.7,595.833333333333,656.044444444445,780.977777777778,639.277777777778,386.022222222222,569.277777777778,877.055555555556,574.911111111111,387.466666666667,455.377777777778,401.1,543.588888888889,447.933333333333,558.911111111111,542.233333333333,588.233333333333,488.877777777778,557.022222222222,393.566666666667,568.288888888889,765.622222222222,1097.26666666667,936.711111111111,414.322222222222,587.022222222222,412.444444444445,1078.22222222222,491.644444444444,1084.83333333333,563.577777777778,577.1,619.566666666667,657.844444444444,559.177777777778,565.266666666667,535.733333333333,569.722222222222,559.022222222222,388.144444444444
C30,884.833333333333,894.077777777778,904.944444444445,0,894.077777777778,886.2,881.644444444444,797.111111111111,921.966666666667,952.911111111111,796.066666666667,884.177777777778,898.888888888889,897.533333333333,907.2,652.988888888889,888.355555555556,921.844444444444,887.422222222222,682.677777777778,892.3,910.844444444444,881.211111111111,917.433333333333,900.411111111111,915.433333333333,797.522222222222,658.1,885.677777777778,938.066666666667,910.922222222222,879.144444444444,906.177777777778,895.988888888889,885.888888888889,900.377777777778,884.488888888889,907.511111111111,924.744444444444,904.044444444445,929.111111111111,864.644444444444,792,861.577777777778,870.233333333333,941.588888888889,904.266666666667,912.1,917.222222222222,812.044444444445,925.255555555556,913.633333333333,886.544444444444,906.777777777778,888.711111111111,884.633333333333,895.122222222222,886.488888888889,900.111111111111,881.977777777778,868.722222222222,892.111111111111,917.255555555556,901.588888888889,778.611111111111,661.988888888889,880.422222222222,902.855555555556,908.322222222222,781.166666666667,882.855555555556,937.688888888889,915.411111111111,898.755555555556,908,875.588888888889,913.722222222222,869.988888888889,966.966666666667,888.933333333333,890.922222222222,892.888888888889
TLBO_v2,266.044444444444,507.355555555556,552.377777777778,894.077777777778,0,439.366666666667,275.855555555556,804.3,815.8,773.277777777778,818.566666666667,430.788888888889,660.188888888889,483.944444444445,573.944444444444,925.111111111111,261.988888888889,816.433333333333,260.144444444444,961.955555555556,667.2,792.033333333333,276.822222222222,629.755555555556,470.177777777778,624.155555555556,836.711111111111,917.2,303.244444444445,1052.47777777778,580.688888888889,373.6,481.011111111111,508.2,313.655555555556,715.011111111111,273.833333333333,916.877777777778,823.311111111111,550.988888888889,834.166666666667,439.122222222222,781.144444444444,437.1,530.444444444445,1033.2,527.211111111111,600.777777777778,810.544444444444,865.277777777778,823.688888888889,601.244444444444,307.688888888889,549.388888888889,264.455555555556,307.155555555556,292.133333333333,262.033333333333,443.855555555556,275.366666666667,340.311111111111,501.811111111111,810.066666666667,690.4,1140.91111111111,937.444444444444,370.166666666667,446.911111111111,581.244444444444,1119.66666666667,273.822222222222,1099.92222222222,804.933333333333,426.011111111111,496.433333333333,543.422222222222,800.111111111111,348.822222222222,800.288888888889,311.922222222222,309.333333333333,480.677777777778
J15_ls_v2,426.855555555556,379.588888888889,399.122222222222,886.2,439.366666666667,0,366.088888888889,797,603.811111111111,563.311111111111,810.6,325.444444444445,692.355555555556,560.911111111111,405.866666666667,912.144444444444,432.555555555556,605.755555555556,424.044444444444,942.211111111111,687.144444444444,585.177777777778,373.366666666667,439.655555555556,556.388888888889,434.922222222222,828.122222222222,907.833333333333,340.077777777778,1037.22222222222,410.188888888889,323.788888888889,569.977777777778,383.766666666667,335.177777777778,733.4,368.911111111111,738.022222222222,612.833333333333,396.266666666667,616.755555555556,525.666666666667,779.688888888889,511.311111111111,586.255555555556,832.633333333333,606.044444444445,420.166666666667,601.244444444444,851.555555555556,609.455555555556,421.988888888889,339.033333333333,375.4,426.133333333333,336.588888888889,446.433333333333,424.666666666667,539.4,369.533333333333,456.477777777778,352.866666666667,601.033333333333,711.744444444444,1106.34444444444,924.366666666667,319.466666666667,539.833333333333,396.188888888889,1085.47777777778,371.833333333333,1084.71111111111,596.144444444444,523.644444444444,583.4,598.233333333333,589.633333333333,462.344444444444,580.011111111111,451.377777777778,443.922222222222,342.088888888889
GA2_ls,223.677777777778,440.522222222222,485.877777777778,881.644444444444,275.855555555556,366.088888888889,0,785.977777777778,740.922222222222,704.844444444445,799.466666666667,353.511111111111,657.488888888889,494.755555555556,505.577777777778,913.122222222222,231.777777777778,739.4,221.866666666667,946.922222222222,657.211111111111,716.444444444444,153.455555555556,556.944444444444,483.522222222222,552.833333333333,819.077777777778,905.655555555556,214.944444444445,1055.28888888889,513.944444444445,294.522222222222,492.533333333333,441.633333333333,226.711111111111,702.533333333333,152.533333333333,867.111111111111,748.633333333333,484.222222222222,758.488888888889,442.244444444445,760.377777777778,428.955555555556,527.877777777778,981.344444444444,546.755555555556,532.344444444444,734.155555555556,846.422222222222,750.3,531.344444444444,220.5,470.622222222222,219.622222222222,224.122222222222,277.055555555555,220.066666666667,454.444444444445,152.4,329.166666666667,425.777777777778,735.211111111111,685.7,1137.5,924.988888888889,287.666666666667,459.1,505.3,1114.7,151.966666666667,1102.75555555556,729.766666666667,436.155555555556,514.311111111111,543.055555555556,721.855555555556,334.788888888889,736.633333333333,293.977777777778,276.833333333333,402.844444444444
C15_v2,791.255555555556,821.855555555556,834.655555555556,797.111111111111,804.3,797,785.977777777778,0,876.011111111111,897.666666666667,789.155555555556,795.555555555556,839.022222222222,823.377777777778,839.688888888889,807.433333333333,797.022222222222,875.644444444444,795.2,834.655555555556,807.544444444445,863.733333333333,787.144444444444,850.833333333333,830.722222222222,848.033333333333,797.277777777778,803.611111111111,791.477777777778,970.155555555556,842.7,788.455555555556,845.711111111111,822.122222222222,792.066666666667,820.888888888889,788.955555555556,912.888888888889,880.211111111111,832.222222222222,885.511111111111,786.533333333333,776.511111111111,778.622222222222,791.988888888889,947.322222222222,841.644444444444,845.7,872.066666666667,813.711111111111,878.877777777778,847.5,792.455555555556,827.711111111111,796.133333333333,791.5,803.388888888889,792.577777777778,834.688888888889,787.666666666667,780.833333333333,811.6,871.633333333333,836.7,931.277777777778,815.5,789.177777777778,832.388888888889,833.588888888889,924.033333333333,789.233333333333,994.911111111111,869.233333333333,825.555555555555,848.555555555556,803.455555555555,866.988888888889,780.722222222222,913.877777777778,794,793.477777777778,808.155555555556
C3_ls_v2,805.755555555556,591.311111111111,569.088888888889,921.966666666667,815.8,603.811111111111,740.922222222222,876.011111111111,0,529.588888888889,883.144444444444,607.411111111111,891.811111111111,852.255555555556,556.633333333333,938.044444444444,812.944444444445,458.544444444444,807.3,960.022222222222,858.533333333333,469.966666666667,748.866666666667,530.288888888889,858.711111111111,530.711111111111,893.444444444445,932.733333333333,705.088888888889,1049.07777777778,554.044444444445,648.288888888889,863.9,595.244444444444,700.011111111111,877.922222222222,745.788888888889,633.588888888889,459.577777777778,566.011111111111,460.544444444444,821.388888888889,869.233333333333,811.211111111111,839.022222222222,659.622222222222,877.855555555556,542.222222222222,461.566666666667,908.944444444444,467.533333333333,543.866666666667,704.422222222222,554.877777777778,806.744444444444,702.755555555556,822.666666666667,803.766666666667,852.611111111111,746.077777777778,804.511111111111,571.922222222222,470.044444444444,895.044444444445,1070.48888888889,943.8,650.122222222222,850.111111111111,539.511111111111,1054.42222222222,746.911111111111,1078.87777777778,465.288888888889,844.3,872.455555555556,848.666666666667,458.266666666667,804.288888888889,524.8,815.1,808.333333333333,579.766666666667
J1_ls_v2,771.5,548.144444444444,523.3,952.911111111111,773.277777777778,563.311111111111,704.844444444445,897.666666666667,529.588888888889,0,906.066666666667,564.977777777778,861.866666666667,798.533333333333,512.666666666667,964.9,775.155555555556,531.577777777778,769.4,978.233333333333,833.7,529.355555555556,714.944444444445,494.922222222222,803.633333333333,492.455555555556,912.811111111111,963.5,665.811111111111,1009.77777777778,513.1,609.188888888889,813.266666666667,549.855555555556,658.822222222222,864.066666666667,710.488888888889,630.244444444444,535.855555555556,524.311111111111,528.866666666667,783.4,891.466666666667,771.088888888889,803.788888888889,674.988888888889,822.066666666667,501.677777777778,534.466666666667,920.533333333333,529.922222222222,500.655555555556,667.966666666667,510.6,768.733333333333,662.477777777778,780.833333333333,764.711111111111,802.133333333333,710.088888888889,765.477777777778,529.222222222222,533.055555555556,862.322222222222,1074.56666666667,970.144444444444,611.511111111111,796.766666666667,501.388888888889,1059.61111111111,710.033333333333,1041.66666666667,530.788888888889,792.288888888889,819.777777777778,809.388888888889,530.811111111111,765.988888888889,488.3,777.488888888889,773.566666666667,537.6
