gigantic_search/4.json,GA2,GA30,T5_ls,TL1_ls,TL1,TL20_ls,jaya,GA20,T30_ls,GA10_ls,TL10,jaya_ls,GA5_ls,TL10_ls,GA2_ls,GA10,GA20_ls,GA5,T1_ls,LBO_ls,TL30_ls,TL5_ls,TL20,TL30,T10_ls,T20_ls,GA30_ls,TL5,LBO,G2JG4TL_ls,G2JG4TL
GA2,0,224.944444444445,311.655555555556,237.633333333333,243.277777777778,239.3,359.866666666667,221.466666666667,288.511111111111,231.544444444444,249.611111111111,277.077777777778,231.444444444445,242.811111111111,236.622222222222,227.022222222222,230.077777777778,216.955555555555,347.011111111111,242.411111111111,234.355555555556,237.5,241.966666666667,242.644444444444,303.144444444444,297.088888888889,231.133333333333,244.844444444444,256.566666666667,233.455555555555,224.566666666667
GA30,224.944444444445,0,321.066666666667,253.933333333333,241.977777777778,253.644444444444,366.411111111111,221.477777777778,298.122222222222,250.444444444445,237.977777777778,288.488888888889,250.5,257.466666666667,251.477777777778,220.077777777778,250.644444444444,224.744444444444,355.777777777778,253.555555555555,252.077777777778,254,239.422222222222,238.233333333333,309.711111111111,304.1,248.722222222222,244.3,252.066666666667,249.644444444444,224.888888888889
T5_ls,311.655555555556,321.066666666667,0,271.177777777778,324.955555555556,270.733333333333,404.255555555555,319.455555555556,280.233333333333,280.6,327.688888888889,293.777777777778,281.366666666667,274.066666666667,277.544444444444,319.322222222222,279.955555555556,319.655555555556,308.311111111111,273,271.477777777778,271.422222222222,330.111111111111,332.588888888889,279.755555555555,280.388888888889,280.122222222222,326.877777777778,327.066666666667,279.422222222222,310.266666666667
TL1_ls,237.633333333333,253.933333333333,271.177777777778,0,267.377777777778,179.244444444444,373.922222222222,254.122222222222,251.988888888889,171.377777777778,275,238.088888888889,171.255555555556,174.711111111111,172.033333333333,251.877777777778,171.822222222222,245.944444444445,303.622222222222,180.8,174.544444444445,176.133333333333,271.577777777778,271.122222222222,261.488888888889,257.144444444444,170.744444444444,269.211111111111,272.222222222222,173.377777777778,231.533333333333
TL1,243.277777777778,241.977777777778,324.955555555556,267.377777777778,0,268.822222222222,358.544444444444,236.922222222222,305.788888888889,261.2,242.088888888889,299.511111111111,259.877777777778,272.266666666667,264.144444444444,243.988888888889,261.088888888889,240.411111111111,362.511111111111,269.711111111111,265.033333333333,265.822222222222,245.488888888889,242.655555555556,316,308.633333333333,260.633333333333,236.344444444444,259.822222222222,260.666666666667,249.155555555556
TL20_ls,239.3,253.644444444444,270.733333333333,179.244444444444,268.822222222222,0,371.677777777778,251.611111111111,249.788888888889,174.755555555556,274.266666666667,240.222222222222,173.366666666667,179.911111111111,169.811111111111,248.811111111111,174.333333333333,244.1,304.955555555556,179.444444444445,175.988888888889,175.955555555555,270.844444444444,271.7,262.333333333333,254.7,176.255555555556,266.544444444444,269.955555555556,172.266666666667,232.177777777778
jaya,359.866666666667,366.411111111111,404.255555555555,373.922222222222,358.544444444444,371.677777777778,0,356.488888888889,388.955555555556,372.366666666667,367.122222222222,392.122222222222,370.133333333333,373.077777777778,372.333333333333,364.466666666667,372.944444444445,367.177777777778,427.655555555556,372.5,371.755555555555,371.1,363.122222222222,359.8,400.833333333333,398.955555555556,370.777777777778,366.644444444444,363.922222222222,369.677777777778,359.5
GA20,221.466666666667,221.477777777778,319.455555555556,254.122222222222,236.922222222222,251.611111111111,356.488888888889,0,297.266666666667,244.522222222222,244.144444444444,284.9,244.288888888889,254.077777777778,243.622222222222,218.355555555556,244.388888888889,227.155555555556,356.988888888889,252.788888888889,249.555555555555,248.544444444444,241.966666666667,236.422222222222,309.077777777778,303.933333333333,244.777777777778,236.644444444444,254.633333333333,243.033333333333,232.344444444444
T30_ls,288.511111111111,298.122222222222,280.233333333333,251.988888888889,305.788888888889,249.788888888889,388.955555555556,297.266666666667,0,259.455555555556,308.5,281.033333333333,257.266666666667,252.122222222222,256.466666666667,296.822222222222,258.788888888889,295.6,309.211111111111,252.788888888889,251.2,251.1,306.433333333333,308.644444444444,272.744444444445,269.466666666667,258.466666666667,306.4,306.655555555556,257.611111111111,288.9
GA10_ls,231.544444444444,250.444444444445,280.6,171.377777777778,261.2,174.755555555556,372.366666666667,244.522222222222,259.455555555556,0,268.422222222222,240.288888888889,123.122222222222,174.466666666667,136.922222222222,243.366666666667,120.311111111111,239.766666666667,312.488888888889,179.733333333333,168.411111111111,168.577777777778,265.622222222222,268.144444444444,272.733333333333,265.744444444445,124.366666666667,259.811111111111,266.488888888889,132.688888888889,222.622222222222
TL10,249.611111111111,237.977777777778,327.688888888889,275,242.088888888889,274.266666666667,367.122222222222,244.144444444444,308.5,268.422222222222,0,303.2,267.744444444445,279.088888888889,271.855555555556,249.566666666667,267.133333333333,250.166666666667,366.822222222222,276.422222222222,272.922222222222,274.733333333333,242.177777777778,244.833333333333,319.422222222222,313.3,267.166666666667,250.055555555555,270.355555555556,267.244444444445,251.444444444444
jaya_ls,277.077777777778,288.488888888889,293.777777777778,238.088888888889,299.511111111111,240.222222222222,392.122222222222,284.9,281.033333333333,240.288888888889,303.2,0,244.077777777778,239.666666666667,238.988888888889,282.9,241.711111111111,279.611111111111,321.311111111111,236.422222222222,235.411111111111,239.644444444444,302.955555555556,302.9,288.222222222222,283.722222222222,243.433333333333,297.544444444444,292.822222222222,242.266666666667,274.933333333333
GA5_ls,231.444444444445,250.5,281.366666666667,171.255555555556,259.877777777778,173.366666666667,370.133333333333,244.288888888889,257.266666666667,123.122222222222,267.744444444445,244.077777777778,0,175.055555555555,139.377777777778,243.288888888889,123.077777777778,237.022222222222,314.566666666667,177.5,168.466666666667,167.388888888889,266.011111111111,265,272.5,266.577777777778,125.511111111111,260.288888888889,265.788888888889,131.344444444444,221.322222222222
TL10_ls,242.811111111111,257.466666666667,274.066666666667,174.711111111111,272.266666666667,179.911111111111,373.077777777778,254.077777777778,252.122222222222,174.466666666667,279.088888888889,239.666666666667,175.055555555555,0,170.544444444445,253.9,177.733333333333,248.855555555556,305.244444444445,177.777777777778,177.077777777778,177.133333333333,276.244444444445,277.811111111111,263.222222222222,258.388888888889,175.7,268.344444444444,272.688888888889,173.4,235.488888888889
GA2_ls,236.622222222222,251.477777777778,277.544444444444,172.033333333333,264.144444444444,169.811111111111,372.333333333333,243.622222222222,256.466666666667,136.922222222222,271.855555555556,238.988888888889,139.377777777778,170.544444444445,0,245.533333333333,137.922222222222,240.955555555555,310.344444444444,170.322222222222,165.355555555556,167.277777777778,269.855555555556,269.244444444445,268.477777777778,262.533333333333,139.555555555555,262.2,266.922222222222,136.9,222.633333333333
GA10,227.022222222222,220.077777777778,319.322222222222,251.877777777778,243.988888888889,248.811111111111,364.466666666667,218.355555555556,296.822222222222,243.366666666667,249.566666666667,282.9,243.288888888889,253.9,245.533333333333,0,241.277777777778,232.466666666667,354.566666666667,248.855555555556,247.222222222222,250.677777777778,252.833333333333,243.111111111111,309.411111111111,302.577777777778,239.111111111111,236.733333333333,258.988888888889,241.388888888889,217.055555555555
GA20_ls,230.077777777778,250.644444444444,279.955555555556,171.822222222222,261.088888888889,174.333333333333,372.944444444445,244.388888888889,258.788888888889,120.311111111111,267.133333333333,241.711111111111,123.077777777778,177.733333333333,137.922222222222,241.277777777778,0,238.255555555556,313.311111111111,180.733333333333,170.011111111111,165.977777777778,264.511111111111,263.988888888889,271.111111111111,265.122222222222,126.277777777778,259.388888888889,265.355555555556,133.311111111111,219.6
GA5,216.955555555555,224.744444444444,319.655555555556,245.944444444445,240.411111111111,244.1,367.177777777778,227.155555555556,295.6,239.766666666667,250.166666666667,279.611111111111,237.022222222222,248.855555555556,240.955555555555,232.466666666667,238.255555555556,0,353.255555555555,244.9,243.866666666667,245.766666666667,249.788888888889,247.222222222222,308.477777777778,300.555555555555,239,245.088888888889,254.3,238.677777777778,224.277777777778
T1_ls,347.011111111111,355.777777777778,308.311111111111,303.622222222222,362.511111111111,304.955555555556,427.655555555556,356.988888888889,309.211111111111,312.488888888889,366.822222222222,321.311111111111,314.566666666667,305.244444444445,310.344444444444,354.566666666667,313.311111111111,353.255555555555,0,303.711111111111,303.855555555556,304.866666666667,368.066666666667,368.922222222222,307.155555555556,309.233333333333,313.122222222222,361.255555555555,358.688888888889,311.733333333333,343.8
LBO_ls,242.411111111111,253.555555555555,273,180.8,269.711111111111,179.444444444445,372.5,252.788888888889,252.788888888889,179.733333333333,276.422222222222,236.422222222222,177.5,177.777777777778,170.322222222222,248.855555555556,180.733333333333,244.9,303.711111111111,0,179.255555555556,175.955555555555,273.066666666667,273.9,264.955555555556,258.988888888889,177.1,266.611111111111,272.088888888889,176.044444444445,230.222222222222
TL30_ls,234.355555555556,252.077777777778,271.477777777778,174.544444444445,265.033333333333,175.988888888889,371.755555555555,249.555555555555,251.2,168.411111111111,272.922222222222,235.411111111111,168.466666666667,177.077777777778,165.355555555556,247.222222222222,170.011111111111,243.866666666667,303.855555555556,179.255555555556,0,169.811111111111,270.611111111111,268.888888888889,260.655555555556,258.022222222222,170.466666666667,265.244444444445,270.188888888889,168.211111111111,227.411111111111
TL5_ls,237.5,254,271.422222222222,176.133333333333,265.822222222222,175.955555555555,371.1,248.544444444444,251.1,168.577777777778,274.733333333333,239.644444444444,167.388888888889,177.133333333333,167.277777777778,250.677777777778,165.977777777778,245.766666666667,304.866666666667,175.955555555555,169.811111111111,0,270.533333333333,270.677777777778,262.688888888889,257.477777777778,169.9,264.655555555556,269.022222222222,165.688888888889,229.8
TL20,241.966666666667,239.422222222222,330.111111111111,271.577777777778,245.488888888889,270.844444444444,363.122222222222,241.966666666667,306.433333333333,265.622222222222,242.177777777778,302.955555555556,266.011111111111,276.244444444445,269.855555555556,252.833333333333,264.511111111111,249.788888888889,368.066666666667,273.066666666667,270.611111111111,270.533333333333,0,243.3,319.911111111111,314.433333333333,264.344444444444,244.988888888889,269.2,264.288888888889,256.422222222222
