algorithm, ds4 percentages
GA2\_ls,0.78
GA5\_ls,0.79
GA10\_ls,0.86
GA20\_ls,0.88
GA30\_ls,0.89
GA2,0.98
GA20,1.09
GA5,1.13
GA10,1.13
GA30,1.16
TLBO\_ls,1.59
TLBO\_ls\_v2,1.63
LBO\_ls,1.68
TLBO,1.84
LBO\_ls\_v2,1.86
TLBO\_v2,1.9
LBO,2.08
LBO\_v2,2.17
J30\_ls,2.9
J30\_v2,2.96
J30,3.0
J30\_ls\_v2,3.0
T30\_v2,4.01
J15\_ls\_v2,4.16
J15\_ls,4.21
T15\_v2,4.47
T30\_ls\_v2,4.57
T30,4.73
T30\_ls,4.78
T7\_v2,5.28
J15\_v2,5.37
J7\_ls,5.51
T15\_ls,5.53
T15\_ls\_v2,5.65
J7\_ls\_v2,5.72
T3\_v2,5.86
J15,5.88
T15,5.93
T7\_ls\_v2,6.08
T7\_ls,6.1
T3\_ls\_v2,6.4
T3\_ls,6.61
J3\_ls,6.62
T7,6.75
J3\_ls\_v2,6.97
T1\_ls,7.14
T1\_ls\_v2,7.18
J7\_v2,7.45
T3,7.61
T1\_v2,8.4
J7,8.86
C30\_ls\_v2,9.84
C30\_ls,9.9
J3\_v2,9.94
T1,10.03
C7\_ls\_v2,10.11
C15\_ls\_v2,10.14
C3\_ls\_v2,10.25
C15\_ls,10.27
J1\_ls\_v2,10.42
C1\_ls\_v2,10.46
C7\_ls,10.73
C3\_ls,10.81
C30\_v2,10.82
C1\_ls,11.21
C15\_v2,11.43
J1\_ls,11.61
J3,11.78
C7\_v2,11.99
C3\_v2,12.49
C1\_v2,12.71
C30,14.21
VND,14.93
C15,15.15
C7,15.47
C3,15.93
C1,16.34
LS,16.85
J1\_v2,20.08
J1,23.61
LF,23.65
control,24.9
