gigantic\_search/5.json,GA2,GA30,T5\_ls,TL1\_ls,T10,TL1,TL20\_ls,jaya,GA20,LS,T20,LF,T30\_ls,GA10\_ls,TL10,T5,jaya\_ls,GA5\_ls,TL10\_ls,GA2\_ls,GA10,GA20\_ls,GA5,T1\_ls,T30,LBO\_ls,TL30\_ls,TL5\_ls,TL20,TL30,T10\_ls,T20\_ls,GA30\_ls,T1,TL5,LBO,VND,G2JG4TL\_ls,control,G2JG4TL
GA2,0.0,599.44,845.7,694.5,1911.27,672.06,677.06,826.12,594.08,1863.82,1850.59,2961.52,787.1,611.98,666.58,1942.02,699.73,613.33,683.4,662.8,595.29,616.81,597.28,924.04,1774.64,662.47,673.5,685.46,659.72,644.66,831.74,807.74,607.53,2166.28,655.64,616.2,1794.53,635.49,2987.58,596.81
GA30,599.44,0.0,864.7,745.61,1866.87,666.41,727.77,831.54,599.72,1912.47,1808.46,2968.03,811.46,675.69,648.18,1895.4,757.76,674.2,734.78,723.56,604.98,679.81,595.77,959.73,1730.89,728.33,720.9,734.41,655.19,648.06,852.12,829.79,669.6,2167.7,637.51,631.18,1835.58,702.89,2993.73,605.39
T5\_ls,845.7,864.7,0.0,820.11,1841.9,868.67,814.38,1012.47,853.82,1823.01,1779.87,2873.58,820.29,813.79,859.52,1874.23,865.43,814.74,811.66,836.03,840.3,812.69,848.8,931.81,1707.66,838.54,805.87,816.53,860.11,852.33,838.78,824.56,813.9,2088.82,857.34,857.92,1753.63,826.19,2900.41,851.04
TL1\_ls,694.5,745.61,820.11,0.0,2010.19,808.89,642.51,886.02,744.73,1722.48,1948.31,2900.98,774.13,586.54,811.63,2040.28,651.1,586.72,639.77,612.77,733.77,588.49,719.18,864.12,1875.19,611.32,636.18,641.8,807.44,801.78,815.89,793.16,585.5,2156.82,801.17,730.81,1672.46,604.94,2927.79,719.31
T10,1911.27,1866.87,1841.9,2010.19,0.0,1720.32,2007.66,1991.46,1846.79,2670.73,1046.21,2788.79,1855.54,2037.69,1713.62,1089.29,2074.84,2041.69,2005.22,2072.16,1852.64,2042.59,1887.88,2008.16,1059.78,2075.84,1994.99,2004.52,1709.74,1703.66,1838.59,1841.99,2039.53,1990.66,1720.8,1891.78,2546.6,2055.38,2800.96,1886.19
TL1,672.06,666.41,868.67,808.89,1720.32,0.0,791.42,885.33,637.51,1977.97,1657.84,2962.49,816.07,762.48,610.19,1759.63,842.7,766.06,794.26,806.9,638.48,763.0,665.38,1005.43,1580.61,815.19,784.18,799.11,613.98,607.93,855.76,834.18,761.97,2150.64,603.3,682.12,1889.63,788.03,2988.74,667.56
TL20\_ls,677.06,727.77,814.38,642.51,2007.66,791.42,0.0,872.13,725.71,1730.06,1944.49,2904.29,765.38,574.12,797.14,2034.86,644.48,574.21,630.19,601.46,714.61,574.64,706.36,860.01,1868.99,599.72,625.0,632.91,795.69,782.62,807.64,786.02,575.43,2154.07,783.46,716.9,1677.83,590.12,2931.48,702.87
jaya,826.12,831.54,1012.47,886.02,1991.46,885.33,872.13,0.0,844.44,1887.99,1931.44,2962.56,966.44,826.97,895.28,2017.92,880.68,829.21,876.37,856.74,828.81,822.09,842.11,1069.17,1863.61,848.34,870.18,874.53,885.49,888.71,1003.18,982.24,821.94,2218.91,884.41,839.12,1826.08,848.21,2986.94,841.24
GA20,594.08,599.72,853.82,744.73,1846.79,637.51,725.71,844.44,0.0,1927.12,1785.91,2967.96,798.38,679.83,639.61,1875.28,765.06,675.21,727.08,725.54,598.77,678.76,594.31,961.9,1706.94,730.86,717.07,737.67,638.58,639.07,838.67,818.2,669.06,2162.98,636.54,626.68,1848.23,710.48,2993.23,603.47
LS,1863.82,1912.47,1823.01,1722.48,2670.73,1977.97,1730.06,1887.99,1927.12,0.0,2634.72,1843.06,1818.17,1725.24,1995.04,2666.76,1709.02,1723.42,1728.84,1694.91,1914.62,1722.54,1898.43,1725.87,2591.62,1695.0,1733.1,1725.63,1995.12,1988.59,1827.92,1827.61,1725.82,2325.23,1986.76,1884.13,991.98,1709.78,1851.87,1891.48
T20,1850.59,1808.46,1779.87,1948.31,1046.21,1657.84,1944.49,1931.44,1785.91,2634.72,0.0,2799.87,1792.67,1976.39,1648.72,1095.5,2010.23,1979.5,1944.19,2007.48,1789.39,1979.33,1821.09,1947.5,1034.12,2014.03,1932.29,1942.4,1645.71,1641.0,1777.67,1778.91,1977.41,1977.71,1659.3,1827.48,2512.54,1992.39,2813.43,1828.38
LF,2961.52,2968.03,2873.58,2900.98,2788.79,2962.49,2904.29,2962.56,2967.96,1843.06,2799.87,0.0,2882.24,2931.52,2966.14,2750.03,2923.59,2930.7,2903.28,2917.72,2968.1,2930.93,2966.56,2863.9,2814.08,2919.39,2907.84,2903.44,2967.0,2963.13,2874.91,2881.24,2932.66,2529.09,2966.1,2959.39,1754.43,2924.19,38.23,2964.93
T30\_ls,787.1,811.46,820.29,774.13,1855.54,816.07,765.38,966.44,798.38,1818.17,1792.67,2882.24,0.0,760.12,814.79,1888.08,817.3,759.63,767.06,785.34,787.26,760.82,790.36,914.03,1719.88,789.59,758.02,766.8,813.02,800.24,813.31,796.09,758.12,2109.13,806.34,805.54,1749.72,772.46,2908.68,793.98
GA10\_ls,611.98,675.69,813.79,586.54,2037.69,762.48,574.12,826.97,679.83,1725.24,1976.39,2931.52,760.12,0.0,765.76,2066.33,565.24,473.6,575.89,512.38,667.51,476.3,645.01,848.56,1901.62,514.58,567.52,580.63,767.03,757.14,809.26,782.9,471.31,2180.79,757.67,661.71,1676.69,494.98,2958.36,639.01
TL10,666.58,648.18,859.52,811.63,1713.62,610.19,797.14,895.28,639.61,1995.04,1648.72,2966.14,814.79,765.76,0.0,1749.89,841.91,762.4,799.82,818.07,637.38,765.32,664.7,1003.93,1572.31,815.98,787.68,801.39,597.63,586.63,850.01,824.52,761.16,2170.21,596.91,672.18,1902.69,790.42,2992.44,663.46
T5,1942.02,1895.4,1874.23,2040.28,1089.29,1759.63,2034.86,2017.92,1875.28,2666.76,1095.5,2750.03,1888.08,2066.33,1749.89,0.0,2103.13,2071.44,2032.89,2099.91,1887.11,2069.06,1913.32,2037.58,1114.51,2104.51,2023.63,2032.77,1740.97,1741.9,1868.63,1873.79,2070.0,1988.1,1755.47,1922.22,2547.8,2083.84,2760.82,1921.21
jaya\_ls,699.73,757.76,865.43,651.1,2074.84,842.7,644.48,880.68,765.06,1709.02,2010.23,2923.59,817.3,565.24,841.91,2103.13,0.0,560.82,647.0,584.93,747.27,562.7,724.46,884.62,1938.16,588.22,639.74,644.21,843.86,836.37,859.74,837.14,568.27,2185.14,832.69,739.84,1665.58,579.02,2950.64,726.68
GA5\_ls,613.33,674.2,814.74,586.72,2041.69,766.06,574.21,829.21,675.21,1723.42,1979.5,2930.7,759.63,473.6,762.4,2071.44,560.82,0.0,574.09,513.49,676.36,471.3,643.21,848.71,1905.71,511.84,570.01,582.9,766.08,761.86,808.68,784.81,471.02,2181.28,754.18,660.49,1673.89,495.82,2958.13,648.1
