ds 5,GA2,GA30,T5ls,TL1ls,T10,TL1,TL20ls,jaya,GA20,LS,T20,LF,T30ls,GA10ls,TL10,T5,jayals,GA5ls,TL10ls,GA2ls,GA10,GA20ls,GA5,T1ls,T30,LBOls,TL30ls,TL5ls,TL20,TL30,T10ls,T20ls,GA30ls,T1,TL5,LBO,VND,G2JG4TLls,control,G2JG4TL
GA2,0.0,599.0,846.0,694.0,1911.0,672.0,677.0,826.0,594.0,1864.0,1851.0,2962.0,787.0,612.0,667.0,1942.0,700.0,613.0,683.0,663.0,595.0,617.0,597.0,924.0,1775.0,662.0,674.0,685.0,660.0,645.0,832.0,808.0,608.0,2166.0,656.0,616.0,1795.0,635.0,2988.0,597.0
GA30,599.0,0.0,865.0,746.0,1867.0,666.0,728.0,832.0,600.0,1912.0,1808.0,2968.0,811.0,676.0,648.0,1895.0,758.0,674.0,735.0,724.0,605.0,680.0,596.0,960.0,1731.0,728.0,721.0,734.0,655.0,648.0,852.0,830.0,670.0,2168.0,638.0,631.0,1836.0,703.0,2994.0,605.0
T5ls,846.0,865.0,0.0,820.0,1842.0,869.0,814.0,1012.0,854.0,1823.0,1780.0,2874.0,820.0,814.0,860.0,1874.0,865.0,815.0,812.0,836.0,840.0,813.0,849.0,932.0,1708.0,839.0,806.0,817.0,860.0,852.0,839.0,825.0,814.0,2089.0,857.0,858.0,1754.0,826.0,2900.0,851.0
TL1ls,694.0,746.0,820.0,0.0,2010.0,809.0,643.0,886.0,745.0,1722.0,1948.0,2901.0,774.0,587.0,812.0,2040.0,651.0,587.0,640.0,613.0,734.0,588.0,719.0,864.0,1875.0,611.0,636.0,642.0,807.0,802.0,816.0,793.0,586.0,2157.0,801.0,731.0,1672.0,605.0,2928.0,719.0
T10,1911.0,1867.0,1842.0,2010.0,0.0,1720.0,2008.0,1991.0,1847.0,2671.0,1046.0,2789.0,1856.0,2038.0,1714.0,1089.0,2075.0,2042.0,2005.0,2072.0,1853.0,2043.0,1888.0,2008.0,1060.0,2076.0,1995.0,2005.0,1710.0,1704.0,1839.0,1842.0,2040.0,1991.0,1721.0,1892.0,2547.0,2055.0,2801.0,1886.0
TL1,672.0,666.0,869.0,809.0,1720.0,0.0,791.0,885.0,638.0,1978.0,1658.0,2962.0,816.0,762.0,610.0,1760.0,843.0,766.0,794.0,807.0,638.0,763.0,665.0,1005.0,1581.0,815.0,784.0,799.0,614.0,608.0,856.0,834.0,762.0,2151.0,603.0,682.0,1890.0,788.0,2989.0,668.0
TL20ls,677.0,728.0,814.0,643.0,2008.0,791.0,0.0,872.0,726.0,1730.0,1944.0,2904.0,765.0,574.0,797.0,2035.0,644.0,574.0,630.0,601.0,715.0,575.0,706.0,860.0,1869.0,600.0,625.0,633.0,796.0,783.0,808.0,786.0,575.0,2154.0,783.0,717.0,1678.0,590.0,2931.0,703.0
jaya,826.0,832.0,1012.0,886.0,1991.0,885.0,872.0,0.0,844.0,1888.0,1931.0,2963.0,966.0,827.0,895.0,2018.0,881.0,829.0,876.0,857.0,829.0,822.0,842.0,1069.0,1864.0,848.0,870.0,875.0,885.0,889.0,1003.0,982.0,822.0,2219.0,884.0,839.0,1826.0,848.0,2987.0,841.0
GA20,594.0,600.0,854.0,745.0,1847.0,638.0,726.0,844.0,0.0,1927.0,1786.0,2968.0,798.0,680.0,640.0,1875.0,765.0,675.0,727.0,726.0,599.0,679.0,594.0,962.0,1707.0,731.0,717.0,738.0,639.0,639.0,839.0,818.0,669.0,2163.0,637.0,627.0,1848.0,710.0,2993.0,603.0
LS,1864.0,1912.0,1823.0,1722.0,2671.0,1978.0,1730.0,1888.0,1927.0,0.0,2635.0,1843.0,1818.0,1725.0,1995.0,2667.0,1709.0,1723.0,1729.0,1695.0,1915.0,1723.0,1898.0,1726.0,2592.0,1695.0,1733.0,1726.0,1995.0,1989.0,1828.0,1828.0,1726.0,2325.0,1987.0,1884.0,992.0,1710.0,1852.0,1891.0
T20,1851.0,1808.0,1780.0,1948.0,1046.0,1658.0,1944.0,1931.0,1786.0,2635.0,0.0,2800.0,1793.0,1976.0,1649.0,1096.0,2010.0,1980.0,1944.0,2007.0,1789.0,1979.0,1821.0,1948.0,1034.0,2014.0,1932.0,1942.0,1646.0,1641.0,1778.0,1779.0,1977.0,1978.0,1659.0,1827.0,2513.0,1992.0,2813.0,1828.0
LF,2962.0,2968.0,2874.0,2901.0,2789.0,2962.0,2904.0,2963.0,2968.0,1843.0,2800.0,0.0,2882.0,2932.0,2966.0,2750.0,2924.0,2931.0,2903.0,2918.0,2968.0,2931.0,2967.0,2864.0,2814.0,2919.0,2908.0,2903.0,2967.0,2963.0,2875.0,2881.0,2933.0,2529.0,2966.0,2959.0,1754.0,2924.0,38.0,2965.0
