complete percentages,dataset 1,dataset 2,dataset 3,dataset 4,dataset 5,dataset 6,dataset 7,dataset 8,dataset 9,average
GA5\_ls,0.11,0.49,1.71,0.37,1.01,2.39,11.29,4.12,3.92,2.82
J30\_ls,0.46,0.68,0.74,1.08,1.17,1.44,12.92,4.92,2.48,2.87
LBO\_ls,0.19,0.53,1.98,0.49,0.98,2.66,11.27,3.74,4.42,2.92
GA2\_ls,0.14,0.59,2.08,0.37,1.1,2.62,11.3,4.2,4.22,2.96
TL30\_ls,0.19,0.67,1.7,0.55,1.06,2.31,11.35,4.44,4.38,2.96
TL15\_ls,0.2,0.72,1.79,0.45,1.07,2.38,11.28,4.52,4.57,3.0
TL1\_ls,0.15,0.73,1.96,0.54,1.17,2.57,11.44,4.87,4.76,3.13
T30\_v2,2.45,3.43,4.5,3.25,4.17,4.96,13.61,9.37,7.33,5.9
C30\_ls\_v2,2.47,5.65,6.24,2.67,4.87,5.66,13.33,8.18,6.59,6.18
J3\_v2,5.9,6.27,6.11,6.98,5.94,5.88,15.03,9.83,7.52,7.72
control,6.28,6.54,6.4,7.02,5.94,5.88,15.04,9.84,7.52,7.83
