complete diversities,dataset 1
LBO,1.92
LBO\_v2,1.95
TLBO,2.0
TLBO\_v2,2.02
GA20,2.07
GA30,2.08
GA5,2.09
GA10,2.09
GA2,2.13
LBO\_ls,2.27
LBO\_ls\_v2,2.32
TLBO\_ls,2.34
GA5\_ls,2.35
TLBO\_ls\_v2,2.36
GA10\_ls,2.36
GA20\_ls,2.37
GA30\_ls,2.38
GA2\_ls,2.38
J30\_v2,2.82
J30\_ls\_v2,2.98
J30\_ls,3.03
J30,3.1
J15\_ls\_v2,3.24
J15\_ls,3.31
J7\_ls,3.37
J7\_ls\_v2,3.38
J3\_ls,3.38
J3\_ls\_v2,3.4
T30\_ls,3.55
T30\_ls\_v2,3.56
J15\_v2,3.57
T15\_ls,3.59
T15\_ls\_v2,3.62
T7\_ls,3.63
T3\_ls,3.64
T7\_ls\_v2,3.66
T3\_ls\_v2,3.66
T30,3.66
T30\_v2,3.67
T1\_ls,3.68
J1\_ls,3.69
T1\_ls\_v2,3.69
J1\_ls\_v2,3.74
T15,3.8
J15,3.81
T15\_v2,3.84
C30\_ls,3.92
C1\_ls,3.92
T7\_v2,3.93
J3\_v2,3.93
T7,3.94
C3\_ls,3.94
J7\_v2,3.94
C15\_ls,3.95
C7\_ls,3.95
C30\_ls\_v2,3.98
C1\_ls\_v2,3.99
C15\_ls\_v2,4.0
C7\_ls\_v2,4.01
C3\_ls\_v2,4.01
J3,4.01
T3,4.03
T3\_v2,4.06
J7,4.1
T1,4.26
J1,4.26
T1\_v2,4.33
J1\_v2,4.36
LS,4.63
VND,4.87
C30\_v2,5.12
C1,5.13
C30,5.17
C15\_v2,5.18
C1\_v2,5.18
C3,5.22
C7\_v2,5.22
C15,5.24
C3\_v2,5.24
C7,5.26
control,5.64
LF,5.66
