complete percentages,dataset 1,dataset 2,dataset 3,dataset 4,dataset 5,dataset 6,dataset 7,dataset 8,dataset 9,average
GA5_ls,0.109038796334994,0.48970636298944,1.71086828539798,0.373918666903122,1.01193594538119,2.38756407771475,11.2940436425757,4.12377790894678,3.91753533166095,2.82426544643388
J30_ls,0.456923003015955,0.67871521903948,0.743856446697658,1.07609105091585,1.16513179215003,1.44222135507177,12.9192807215837,4.91574996217358,2.47666092538295,2.87495894178122
LBO_ls,0.192279430645243,0.52565010207642,1.97589120490654,0.486394606372814,0.984397790792597,2.65699148166703,11.2697316076136,3.74359683050549,4.42131099754841,2.91736045023646
GA2_ls,0.143492509593532,0.591443451235133,2.08192301833426,0.371646199991812,1.10264683487032,2.61591279897933,11.299510444584,4.19538703518964,4.21678518121635,2.9576386082216
TL30_ls,0.193388408261761,0.673108662339269,1.70231227988978,0.552760192586582,1.06380087718931,2.31108373635008,11.3484339242765,4.43515973553835,4.38451877262972,2.96272962100682
TL15_ls,0.200605633907689,0.718253530059548,1.7945316787374,0.450599864534709,1.07091556303747,2.37815344402897,11.2813368781573,4.52161787075776,4.57202027989114,2.99867052701244
TL1_ls,0.153860871902491,0.733872738560187,1.96323529282752,0.538051928516185,1.16609293181921,2.56727733558614,11.4422502085639,4.87409873251914,4.75957958413722,3.13314662493689
T30_v2,2.45129676688383,3.42523128013334,4.50335995609018,3.25475121324892,4.17293261656395,4.95846531209149,13.6074879229967,9.36813922694264,7.32787097276567,5.89661502974631
C30_ls_v2,2.46770233172022,5.6548069456796,6.24283673670122,2.66776374106291,4.8695294560142,5.66369579495341,13.3282071185769,8.17974288373599,6.58902439337455,6.18481215575766
J3_v2,5.90242542766423,6.27079056728154,6.10873849256872,6.98330176221041,5.93921506516489,5.88296307716072,15.032504784129,9.83246066563333,7.51606368913903,7.71871817010576
control,6.28440559180568,6.53661239608595,6.40413267209666,7.01721513109431,5.93921506516489,5.88296307716072,15.0442647465392,9.83503731664858,7.51756022007214,7.82904513518535
