algorithm,dataset 4 diversity
LBO,1.92398101843953
LBO\_v2,1.95328255319068
TLBO,1.9995650936449
TLBO\_v2,2.01958595307318
GA20,2.0667544118153
GA30,2.08063388950574
GA5,2.08742601056853
GA10,2.08845973734184
GA2,2.13220546014241
J30\_v2,2.81539157625656
J30,3.09889547547134
J15\_v2,3.56727878413422
T30,3.66304945616839
T30\_v2,3.66951112226717
T15,3.80037325942685
J15,3.81304253688217
T15\_v2,3.84371460425076
T7\_v2,3.93085841152976
J3\_v2,3.93397129770751
T7,3.93690593209823
J7\_v2,3.94180586774174
J3,4.01197213605326
T3,4.02789409107671
T3\_v2,4.05830840872299
J7,4.09586586721684
T1,4.26032387801493
J1,4.26289575919239
T1\_v2,4.32538542056349
J1\_v2,4.36165638095831
LS,4.62845940371229
VND,4.86962642943235
C30\_v2,5.12355770519328
C1,5.13215008478691
C30,5.17219546038156
C15\_v2,5.1808803864868
C1\_v2,5.18255147791466
C3,5.22163008722027
C7\_v2,5.22192750577704
C15,5.24165315086777
C3\_v2,5.24390656996142
C7,5.26051049440833
control,5.6448725894965
LF,5.66075784134776
